run_id,family,model,eval_level,split,scope,test_acc,train_acc,balanced_acc,weighted_f1,wt_precision,wt_recall,wt_f1,ht_precision,ht_recall,ht_f1,auc,avg_precision,mcc,ht_support,wt_support,num_test,threshold,legacy_baseline_acc,source_path
xgboost_strain2_subject_eval_independent_baseline,tabular,xgboost,recording,independent,strain2,0.657,0.916,,0.609,0.722,0.865,0.787,0.194,0.089,0.122,,,,,,,0.5,0.829,results/tabular_models/strain/xgboost_strain2_subject_eval_independent_baseline/comparison_vs_baseline.txt
xgboost_tuned_dependent_strain2_subject_eval_dependent_baseline,tabular,xgboost_tuned,recording,dependent,strain2,0.783,0.924,,0.79,0.888,0.8,0.842,0.59,0.741,0.657,,,,,,,0.5,0.829,results/tabular_models/strain/xgboost_tuned_dependent_strain2_subject_eval_dependent_baseline/comparison_vs_baseline.txt
xgboost_tuned_dependent_strain2_subject_eval_independent_baseline,tabular,xgboost_tuned,recording,independent,strain2,0.653,0.95,,0.597,0.716,0.871,0.786,0.14,0.057,0.081,,,,,,,0.5,0.829,results/tabular_models/strain/xgboost_tuned_dependent_strain2_subject_eval_independent_baseline/comparison_vs_baseline.txt
tabpfn_subject_eval_dependent_baseline__@0.5,tabular-threshold,tabpfn,recording,dependent,threshold:0.5,0.7834,,0.8277,,0.9632,0.7343,0.8333,0.5524,0.9212,0.6906,0.9081,,,,,,0.5,,results/tabular_models/threshold/tabpfn_subject_eval_dependent_baseline/threshold_metrics.json
tabpfn_subject_eval_independent_baseline__@0.5,tabular-threshold,tabpfn,recording,independent,threshold:0.5,0.7129,,0.662,,0.8226,0.7731,0.7971,0.474,0.5509,0.5096,0.783,,,,,,0.5,,results/tabular_models/threshold/tabpfn_subject_eval_independent_baseline/threshold_metrics.json
xgboost_subject_eval_dependent_baseline__@0.5,tabular-threshold,xgboost,recording,dependent,threshold:0.5,0.7274,,0.7948,,0.9666,0.6529,0.7794,0.4899,0.9366,0.6433,0.8761,,,,,,0.5,,results/tabular_models/threshold/xgboost_subject_eval_dependent_baseline/threshold_metrics.json
xgboost_subject_eval_independent_baseline__@0.5,tabular-threshold,xgboost,recording,independent,threshold:0.5,0.6924,,0.6778,,0.8438,0.7096,0.7709,0.4522,0.6459,0.532,0.7701,,,,,,0.5,,results/tabular_models/threshold/xgboost_subject_eval_independent_baseline/threshold_metrics.json
xgboost_tuned_dependent_subject_eval_dependent_baseline__@0.5,tabular-threshold,xgboost_tuned,recording,dependent,threshold:0.5,0.7708,,0.7983,,0.9354,0.7404,0.8265,0.54,0.8563,0.6623,0.8849,,,,,,0.5,,results/tabular_models/threshold/xgboost_tuned_dependent_subject_eval_dependent_baseline/threshold_metrics.json
xgboost_tuned_independent_subject_eval_independent_baseline__@0.5,tabular-threshold,xgboost_tuned,recording,independent,threshold:0.5,0.6952,,0.7253,,0.8948,0.6596,0.7594,0.4631,0.791,0.5842,0.753,,,,,,0.5,,results/tabular_models/threshold/xgboost_tuned_independent_subject_eval_independent_baseline/threshold_metrics.json
tabpfn_subject_eval_dependent_baseline__@tuned,tabular-threshold,tabpfn,recording,dependent,threshold:youden,0.7663,,0.8217,,0.9697,0.7052,0.8166,0.5311,0.9382,0.6782,0.9081,,,,,,0.454,,results/tabular_models/threshold/tabpfn_subject_eval_dependent_baseline/threshold_metrics.json
tabpfn_subject_eval_independent_baseline__@tuned,tabular-threshold,tabpfn,recording,independent,threshold:youden,0.7031,,0.7959,,0.9989,0.5936,0.7447,0.4769,0.9983,0.6454,0.783,,,,,,0.0055,,results/tabular_models/threshold/tabpfn_subject_eval_independent_baseline/threshold_metrics.json
xgboost_subject_eval_dependent_baseline__@tuned,tabular-threshold,xgboost,recording,dependent,threshold:youden,0.7367,,0.7941,,0.957,0.6733,0.7904,0.4992,0.915,0.6459,0.8761,,,,,,0.5281,,results/tabular_models/threshold/xgboost_subject_eval_dependent_baseline/threshold_metrics.json
xgboost_subject_eval_independent_baseline__@tuned,tabular-threshold,xgboost,recording,independent,threshold:youden,0.705,,0.7972,,0.9989,0.5962,0.7467,0.4785,0.9983,0.6469,0.7701,,,,,,0.128,,results/tabular_models/threshold/xgboost_subject_eval_independent_baseline/threshold_metrics.json
xgboost_tuned_dependent_subject_eval_dependent_baseline__@tuned,tabular-threshold,xgboost_tuned,recording,dependent,threshold:youden,0.7306,,0.8005,,0.9722,0.6535,0.7816,0.4932,0.9474,0.6487,0.8849,,,,,,0.3655,,results/tabular_models/threshold/xgboost_tuned_dependent_subject_eval_dependent_baseline/threshold_metrics.json
xgboost_tuned_independent_subject_eval_independent_baseline__@tuned,tabular-threshold,xgboost_tuned,recording,independent,threshold:youden,0.7036,,0.7968,,1.0,0.5936,0.745,0.4773,1.0,0.6462,0.753,,,,,,0.288,,results/tabular_models/threshold/xgboost_tuned_independent_subject_eval_independent_baseline/threshold_metrics.json
