trial,max_depth,min_child_weight,learning_rate,reg_lambda,reg_alpha,gamma,subsample,colsample_bytree,cv_balanced_acc,cv_acc,cv_ht_recall,cv_wt_recall,cv_ht_precision,cv_wt_precision,cv_best_iter
14,5,8,0.03,1.0,0.0,1.0,0.6,0.8,0.7624603092436125,0.6654510407000535,0.9211595411042646,0.6037610773829604,0.42387997297736746,0.9351653558639554,3.8
152,5,2,0.05,0.5,0.2,0.5,0.9,0.7,0.7623705325926732,0.671293238764471,0.9266329982976117,0.5981080668877345,0.42872255534561454,0.9528689206684895,14.2
1,5,8,0.08,1.5,2.0,2.0,0.7,0.8,0.759480824099434,0.6664027130080216,0.9160425667328722,0.6029190814659955,0.42278650062116885,0.9348663203861285,3.8
43,6,1,0.1,6.0,0.0,4.0,1.0,0.7,0.7593836524275914,0.6801944657380952,0.9040983783260946,0.6146689265290883,0.437331312893295,0.9503670330373,10.0
136,7,12,0.02,0.5,0.0,0.0,0.6,0.6,0.7589579775974672,0.6677880942007747,0.9151788142142216,0.6027371409807127,0.42585649597350245,0.9409773712462801,4.0
15,4,1,0.15,6.0,0.2,1.0,0.8,0.7,0.7578712277171828,0.6607025962355475,0.9152574860653612,0.6004849693690045,0.42020120274143224,0.9330675241086114,5.0
4,6,5,0.15,10.0,2.0,0.5,0.9,0.8,0.7576715625646179,0.668673890008905,0.9141247097739628,0.6012184153552729,0.4245043987931152,0.9409698348986145,1.6
19,5,8,0.08,6.0,0.2,0.5,0.9,0.6,0.757326743204257,0.6712792247773067,0.9154809989538306,0.5991724874546834,0.4279025280817999,0.956689765057009,16.4
145,4,8,0.15,1.0,0.0,0.0,0.9,0.7,0.7571883391745852,0.6623879564636217,0.9127058266347767,0.6016708517143935,0.4213560101882002,0.9337210862207291,5.8
82,4,3,0.15,1.5,1.0,2.0,0.7,0.8,0.756516048166074,0.6650686552990978,0.9073526468063904,0.6056794495257576,0.4219737582045939,0.9325889688575011,3.0
20,4,8,0.15,0.5,1.0,4.0,0.9,0.8,0.756336999903586,0.6618423428938667,0.9119272332474878,0.6007467665596842,0.42100055763412614,0.9333506986141339,4.8
0,6,8,0.05,6.0,1.0,0.1,0.8,0.7,0.7555290183113458,0.6681470788709111,0.903821249221361,0.6072367874013308,0.4255508251300458,0.9337867639639942,5.2
182,5,2,0.02,1.5,0.2,0.1,1.0,0.8,0.7550605502409746,0.6725249891768588,0.9012792416113452,0.608841858870604,0.4272040177022293,0.9372677384708096,30.2
36,5,1,0.08,10.0,0.5,4.0,0.8,0.5,0.7541938020672926,0.6707593457293486,0.9180215238040628,0.5903660803305224,0.4220821827590565,0.970153457102645,3.8
97,7,12,0.05,6.0,1.0,2.0,1.0,0.6,0.7540886350657935,0.6689741496310654,0.8995517094056918,0.6086255607258952,0.42821360800321806,0.9366090718400795,5.0
21,6,5,0.08,10.0,2.0,0.5,0.7,0.8,0.7525942922343505,0.6745260945770876,0.8843737279266645,0.6208148565420365,0.4340383430820429,0.9291963604993473,17.6
129,7,20,0.03,3.0,0.05,2.0,0.7,0.8,0.7525285756153794,0.667600701774845,0.9035322170796608,0.601524934151098,0.4226427664192974,0.9401023916505015,3.4
199,7,3,0.08,10.0,2.0,0.5,1.0,0.6,0.7522943935611206,0.6689657654106337,0.893793303478567,0.6107954836436741,0.42672569080777933,0.9322327104339871,1.6
77,7,3,0.05,1.0,0.5,0.0,0.7,0.6,0.7514512054319338,0.6795268799765555,0.8825717473803593,0.6203306634835084,0.4289352473899056,0.9360483934760128,4.8
193,4,2,0.15,1.5,1.0,2.0,0.7,0.7,0.7498326277746873,0.6599628791544113,0.8950721266606358,0.604593128888739,0.4174628284939003,0.9241235747514761,3.2
55,4,8,0.15,0.5,0.5,2.0,0.6,0.6,0.7492332615095666,0.6569055423201562,0.8920309090082587,0.6064356140108746,0.4184856981315102,0.9261826609169536,4.0
38,7,1,0.08,0.5,0.5,0.0,1.0,0.8,0.7483378666950027,0.6915526429463034,0.8532966935803786,0.6433790398096267,0.439956730987642,0.9264136098354093,24.8
99,7,8,0.08,10.0,0.0,0.0,0.7,0.8,0.7474902228704404,0.6741517254710688,0.8815014812982822,0.6134789644425986,0.4256086395283666,0.9368842525363068,1.6
143,5,5,0.08,1.0,0.2,0.5,1.0,0.8,0.7474423431729441,0.6686359152818857,0.8789978417699222,0.6158868445759663,0.42794222196282716,0.9234262158060782,27.2
52,7,5,0.08,3.0,1.0,1.0,1.0,0.8,0.7471392982256198,0.6838459897592147,0.8591597152566095,0.6351188811946298,0.43685452349710224,0.9244614279323372,22.2
13,6,20,0.05,1.5,0.0,0.5,0.8,0.5,0.7470971075440357,0.6671312393028711,0.8928059450823784,0.6013882700056928,0.4252167157948129,0.9476271082080254,6.2
71,7,20,0.02,1.5,0.0,4.0,0.6,0.5,0.7468524681100259,0.661818244195122,0.903610958019966,0.5900939782000857,0.41924178604464624,0.9497157228884102,5.8
120,6,3,0.03,0.5,1.0,4.0,0.9,0.6,0.7456770264901513,0.6712899683593057,0.8725489957866879,0.6188050571936148,0.4271162258776619,0.9243826353270046,17.0
123,5,3,0.1,3.0,2.0,0.1,0.9,0.8,0.7456305277105058,0.6627254608313329,0.8876782531396422,0.6035828022813692,0.41883008139635824,0.9228505894295154,7.0
124,5,5,0.15,10.0,0.0,4.0,0.8,0.5,0.745414015603572,0.6722377695751501,0.8936006040830433,0.5972274271241009,0.42128046357119037,0.963875193318148,4.8
156,7,1,0.02,6.0,2.0,0.5,0.8,0.7,0.743770700340203,0.6659698380810156,0.8690036541021422,0.6185377465782638,0.422891882606604,0.9164711532383848,4.0
107,8,8,0.03,6.0,2.0,0.5,0.8,0.7,0.7427596632051263,0.6686368794521595,0.8586025173214737,0.6269168090887789,0.43293471411170553,0.910463207268663,69.4
76,7,8,0.03,1.0,2.0,0.1,1.0,0.7,0.7422180748724825,0.6680632703766916,0.8549078494390944,0.6295283003058707,0.43014179237741335,0.9097186414502044,21.6
186,8,12,0.02,1.0,0.0,1.0,0.8,0.6,0.740301750668007,0.667343697748644,0.8663803989162604,0.6142231024197536,0.42201992174711134,0.9235431446649912,4.6
137,8,8,0.05,1.5,2.0,4.0,0.8,0.7,0.739855534916663,0.662926449168656,0.863846728691694,0.615864341141632,0.4215837219237171,0.912398147491879,2.6
66,7,3,0.03,1.5,0.0,0.1,1.0,0.6,0.7397262552363068,0.666457700867263,0.8699164334472085,0.609536077025405,0.42400171155412114,0.9285031262214363,4.8
189,4,20,0.15,3.0,0.2,0.1,0.8,0.6,0.7391720748036033,0.6746169697381303,0.8814107170563823,0.5969334325508241,0.4157704547690084,0.9686368323093337,3.8
101,6,1,0.15,3.0,1.0,4.0,0.8,0.5,0.7388831350089822,0.6747615918668786,0.8625917253739022,0.6151745446440622,0.4254082258962059,0.9385782410218859,2.8
157,8,12,0.1,0.5,1.0,2.0,0.8,0.6,0.7374017551115213,0.6683908261080019,0.8499663470706327,0.6248371631524099,0.4298421389186614,0.9145641700802887,12.0
132,8,8,0.05,0.5,0.05,1.0,0.8,0.7,0.7370965686621613,0.6632626328366081,0.851295198597127,0.6228979387271953,0.4228474465034887,0.9054662856649065,1.6
80,7,1,0.15,3.0,0.0,0.0,1.0,0.8,0.7357502506199001,0.6873986776933669,0.8229111304047645,0.6485893708350358,0.43749227813757774,0.9149847032212076,34.2
192,7,2,0.02,6.0,0.05,1.0,0.7,0.7,0.7355847611744671,0.6672073779849086,0.8543578709094233,0.6168116514395111,0.41993294596590036,0.9195687649668015,5.0
88,8,12,0.05,0.5,0.2,1.0,0.7,0.8,0.7346059462389024,0.6763446993494862,0.8412801593793586,0.6279317330984463,0.4282309756519666,0.9228162899141404,14.2
142,7,8,0.08,3.0,1.0,0.1,0.8,0.7,0.7340142239114266,0.6611426555382808,0.8496226325953723,0.6184058152274811,0.42123487444768937,0.9085786576268207,2.0
3,8,8,0.08,0.5,0.0,0.5,0.8,0.6,0.7333689702167132,0.6693589184964526,0.841592812227111,0.6251451282063153,0.4222405255556116,0.9104697139555615,2.6
116,8,3,0.08,6.0,0.05,0.1,0.8,0.7,0.7310714595585558,0.666975179362095,0.8338121071853711,0.6283308119317403,0.42156827894938653,0.9050681619785518,2.6
115,8,2,0.1,1.0,2.0,0.5,0.8,0.7,0.7307630845139566,0.6704762825845837,0.8243021002840599,0.6372240687438532,0.42559732203486333,0.9007545699672809,3.4
86,7,12,0.1,1.5,0.5,2.0,0.9,0.7,0.7298232443342403,0.6572660671363398,0.8379428783882338,0.621703610280247,0.42260524828182683,0.898154743960944,14.2
72,8,5,0.02,10.0,1.0,0.5,0.8,0.5,0.7270322180874219,0.6671930000174312,0.8395112759336698,0.614553160241174,0.4167107364728516,0.9267682195179388,6.0
