trial,max_depth,min_child_weight,learning_rate,reg_lambda,reg_alpha,gamma,subsample,colsample_bytree,cv_balanced_acc,cv_acc,cv_ht_recall,cv_wt_recall,cv_ht_precision,cv_wt_precision,cv_best_iter
122,7,12,0.1,10.0,2.0,1.0,0.8,0.5,0.8127469595453569,0.756644314157721,0.9235058010326093,0.7019881180581046,0.5046004808251139,0.9660456640751761,75.0
77,7,3,0.05,1.0,0.5,0.0,0.7,0.6,0.8126363872436595,0.7633364824437096,0.9099551296676553,0.7153176448196638,0.5129248079437936,0.9612448949293867,97.2
88,8,12,0.05,0.5,0.2,1.0,0.7,0.8,0.812624575831055,0.7560345084866467,0.9243372964568494,0.7009118552052602,0.5035851736248129,0.9661989637969292,53.8
143,5,5,0.08,1.0,0.2,0.5,1.0,0.8,0.8124861967961193,0.7441652439068316,0.9473597485233352,0.6776126450689036,0.49128328646630326,0.9757428993693497,63.8
80,7,1,0.15,3.0,0.0,0.0,1.0,0.8,0.8123549002601159,0.7752061072158879,0.8856888145275095,0.7390209859927221,0.5272114405890959,0.9524193175547584,41.2
171,7,8,0.03,6.0,0.2,4.0,0.7,1.0,0.8122951311424057,0.7551215752138256,0.9251603417243391,0.6994299205604724,0.5025646847191879,0.9665528149792841,156.8
192,7,2,0.02,6.0,0.05,1.0,0.7,0.7,0.8122570692811522,0.7492386048000264,0.9366660751556941,0.6878480634066099,0.49670600033797935,0.9713302554780624,111.2
73,6,5,0.1,0.5,0.2,1.0,0.6,0.8,0.8122028721283581,0.7526878583270815,0.9296870906955323,0.6947186535611839,0.4998550045053792,0.9683246018008067,43.6
156,7,1,0.02,6.0,2.0,0.5,0.8,0.7,0.812105330954721,0.7462990749230989,0.9420141793630272,0.6821964825464152,0.493332075597674,0.973298289323222,82.4
13,6,20,0.05,1.5,0.0,0.5,0.8,0.5,0.8120841214231467,0.7516724245988744,0.9313365612932121,0.6928316815530813,0.4986816018453612,0.9689435824095309,134.2
39,5,1,0.02,3.0,0.2,0.5,1.0,0.7,0.8120638465266754,0.7293568096424525,0.9753280773358345,0.6487996157175161,0.4764433056799757,0.9877428008861315,78.4
157,8,12,0.1,0.5,1.0,2.0,0.8,0.6,0.8120133124284333,0.7671944513910114,0.9004909541071988,0.7235356707496681,0.5164046109631979,0.9571520158317591,58.2
12,7,1,0.1,6.0,0.0,0.0,0.6,0.5,0.8119326980777821,0.7718596628805303,0.8910386087661925,0.7328267873893715,0.5230318551818878,0.9542130663171007,86.0
75,6,1,0.08,1.5,1.0,1.0,1.0,0.5,0.8117383265651796,0.7596842862479585,0.9144852587015488,0.7089913944288104,0.508661739251136,0.9627171644596778,74.2
191,7,3,0.03,3.0,0.0,1.0,1.0,0.5,0.8117044030061289,0.7460941254683787,0.9412088794247133,0.6821999265875444,0.49402381142618446,0.973388720099248,100.6
195,8,8,0.08,0.5,0.5,0.0,0.7,0.5,0.8116994812886839,0.7654683581300048,0.9029609349253429,0.7204380276520249,0.5147225489280419,0.9580689571494212,70.0
51,6,2,0.15,10.0,0.2,1.0,1.0,0.5,0.8116351307654209,0.7616140940184397,0.9103708773797754,0.7128993841510665,0.5095350204427891,0.9606225195270526,56.6
197,6,2,0.15,6.0,0.0,0.0,1.0,0.5,0.811520155077012,0.7687115301691978,0.8960022308413821,0.7270380793126419,0.5202685153081048,0.9564186048277519,81.8
175,7,20,0.03,6.0,0.0,0.1,1.0,0.8,0.8113910619093007,0.747514878517407,0.937493345501559,0.6852887783170422,0.4944414161092464,0.971521765911923,88.8
29,6,2,0.15,10.0,0.2,0.0,0.6,0.8,0.8113502401873568,0.7610073242544276,0.9107477543708435,0.71195272600387,0.509689479818363,0.9611492291468163,45.6
95,8,3,0.05,0.5,1.0,0.0,0.7,0.5,0.8112900375816716,0.7686128374616523,0.895545077361185,0.727034997802158,0.5210341139378097,0.956326180092619,91.0
168,6,2,0.15,3.0,0.0,0.1,0.8,0.5,0.811243664324898,0.7554277901786863,0.9214414277384846,0.7010459009113114,0.503978559052929,0.9654555855383202,41.6
166,6,3,0.03,1.0,0.2,1.0,0.9,1.0,0.8112150950407472,0.7459899784193318,0.9399692414294286,0.6824609486520657,0.49317526483342444,0.972583245586582,97.8
183,6,3,0.15,10.0,0.05,1.0,0.8,1.0,0.8111513340640254,0.7690203693927053,0.894320649648051,0.7279820184799997,0.5184678062479697,0.9546911671743781,59.8
47,8,20,0.1,1.0,0.05,0.5,0.7,0.5,0.8110507623207124,0.7555270489028025,0.9206479580196213,0.7014535666218035,0.5030576508179703,0.9644962080220252,60.2
188,8,20,0.1,0.5,0.2,0.1,0.8,1.0,0.8110353726859749,0.7638450226046436,0.9041912777482022,0.7178794676237475,0.5126723465917017,0.9583319353133792,57.6
131,8,20,0.02,6.0,2.0,1.0,0.9,0.6,0.810856382081899,0.7423408181306428,0.9461209555437253,0.6755918086200724,0.4896710884757979,0.9752817464319709,137.4
